shipment_mode,total_cost
Ocean,20121.2
Air,10674.96
Air,35641.68
Ocean,150735.75
Ocean,17086.339
Air,18578.25
Ocean,103510.98
Ocean,74265.0192
Air,6028.1
Ocean,150735.75
Ocean,15948.575
Ocean,6442.275
Ocean,10437.01146
Ocean,132889.44
Ocean,14244.5
Air,10460.93
Air,15434.3
Ocean,177122.7
Ocean,40000.5423
Air,18498.15
Air,32177.2
Ocean,9189.6
Ocean,88650
Air,13953.15
Ocean,12552.8
Ocean,20586.45225
Air,30804
Air,93800
Air,39321
Air,10771.65
Air,60456.5
Air,95546.88
Air,90580.24
Air,9231
Ocean,55534.5
Air,20452.544
Ocean,43405
Ocean,76560.9
Air,12480.3
